﻿* MH (Multifield Hourly Data Format)
* 以 '*' 字元開頭的文字為格式說明
* 以 '#' 字元開頭的文字為氣象資料欄位標題列7個字元一組
********************************************************************************
* 格式說明:
* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位
* 1~6        8~17              第18個字元開始每個氣象要素(欄位)7個字元
* 時間為當地時間(LocalTime)
* yyyy:西元年
* mm:月
* dd:日
* hh:時
********************************************************************************
* 欄位標題說明:
C0X320, 2025051806,     27.2
C0X320, 2025051807,     29.7
C0X320, 2025051808,     31.0
C0X320, 2025051809,     32.0
C0X320, 2025051810,     33.9
C0X320, 2025051811,     35.7
C0X320, 2025051812,     35.3
C0X320, 2025051813,     34.1
C0X320, 2025051814,     34.9
C0X320, 2025051815,     34.7
C0X320, 2025051816,     33.8
C0X320, 2025051817,     32.4
C0X320, 2025051818,     30.9
C0X320, 2025051819,     29.5
C0X320, 2025051820,     29.4
C0X320, 2025051821,     27.5
C0X320, 2025051822,     27.2
C0X320, 2025051823,     26.3
C0X320, 2025051824,     26.8
C0X320, 2025051901,     27.0
C0X320, 2025051902,     25.6
C0X320, 2025051903,     25.3
C0X320, 2025051904,     24.8
C0X320, 2025051905,     24.3
C0X320, 2025051906,     25.4
C0X320, 2025051907,     29.0
C0X320, 2025051908,     31.1
C0X320, 2025051909,     31.6
C0X320, 2025051910,     33.9
C0X320, 2025051911,     33.9
C0X320, 2025051912,     34.2
C0X320, 2025051913,     33.9
C0X320, 2025051914,     33.9
C0X320, 2025051915,     33.4
C0X320, 2025051916,     33.0
C0X320, 2025051917,     31.6
C0X320, 2025051918,     30.2
C0X320, 2025051919,     29.5
C0X320, 2025051920,     28.4
C0X320, 2025051921,     26.2
C0X320, 2025051922,     25.1
C0X320, 2025051923,     24.4
C0X320, 2025051924,     24.2
C0X320, 2025052001,     24.2
C0X320, 2025052002,     23.8
C0X320, 2025052003,     24.0
C0X320, 2025052004,     24.2
C0X320, 2025052005,     24.5
C0X320, 2025052006,     26.0
C0X320, 2025052007,     29.7
C0X320, 2025052008,     31.4
C0X320, 2025052009,     32.7
C0X320, 2025052010,     33.3
C0X320, 2025052011,     35.0
C0X320, 2025052012,     35.1
C0X320, 2025052013,     34.3
C0X320, 2025052014,     33.8
C0X320, 2025052015,     34.2
C0X320, 2025052016,     34.6
C0X320, 2025052017,     33.5
C0X320, 2025052018,     31.6
C0X320, 2025052019,     30.2
C0X320, 2025052020,     30.0
C0X320, 2025052021,     27.9
C0X320, 2025052022,     27.2
C0X320, 2025052023,     26.5
C0X320, 2025052024,     26.5
C0X320, 2025052101,     26.9
C0X320, 2025052102,     27.0
C0X320, 2025052103,     26.8
